Country,StateName,StateCode,Year,TRU,D7298_3,D7298_4,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_sum,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_avg,Estimated_number_of_hospitalisation_cases_sum,Estimated_number_of_hospitalisation_cases_avg,Sample_number_of_hospitalisation_cases_sum,Sample_number_of_hospitalisation_cases_avg
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Female,all (incl.n.r),34238.0,34238.0,180.0,180.0,179.0,179.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Charitable/NGO/trust run,1750.0,1750.0,180.0,180.0,179.0,179.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Govt./Public,22568.0,22568.0,180.0,180.0,179.0,179.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Private,82218.0,82218.0,180.0,180.0,179.0,179.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Male,all (incl.n.r),42137.0,42137.0,180.0,180.0,179.0,179.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Charitable/NGO/trust run,4140.0,4140.0,180.0,180.0,179.0,179.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Govt./Public,19425.0,19425.0,180.0,180.0,179.0,179.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Person,Private,77152.0,77152.0,180.0,180.0,179.0,179.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Person,all (incl.n.r),38256.0,38256.0,180.0,180.0,179.0,179.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Charitable/NGO/trust run,20370.0,20370.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Govt./Public,2061.0,2061.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Female,Private,16577.0,16577.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Female,all (incl.n.r),10580.0,10580.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Charitable/NGO/trust run,36062.0,36062.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Govt./Public,3395.0,3395.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Private,37408.0,37408.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Male,all (incl.n.r),22575.0,22575.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Charitable/NGO/trust run,30807.0,30807.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Govt./Public,2650.0,2650.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Private,25231.0,25231.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Rural,Person,all (incl.n.r),15740.0,15740.0,897.0,897.0,433.0,433.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Female,Charitable/NGO/trust run,18674.0,18674.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Female,Govt./Public,2009.0,2009.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Female,Private,18990.0,18990.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Female,all (incl.n.r),12854.0,12854.0,1389.0,1389.0,795.0,795.0
India,Uttarakhand,5,"Agriculture Year (Jul - Jun), 2017",Total,Male,Charitable/NGO/trust run,37561.0,37561.0,1389.0,1389.0,795.0,795.0
