StateCode,StateName,DistrictCode,DistrictName,Year,phc_count,chc_count,sc_count,dh_count
5,Uttarakhand,51,Nainital,2021,48.0,10.0,136.0,1.0
5,Uttarakhand,52,Pauri Garhwal,2016,32.0,5.0,239.0,2.0
5,Uttarakhand,52,Pauri Garhwal,2017,29.0,5.0,239.0,2.0
5,Uttarakhand,52,Pauri Garhwal,2018,26.0,5.0,228.0,2.0
5,Uttarakhand,52,Pauri Garhwal,2019,31.0,5.0,209.0,1.0
5,Uttarakhand,52,Pauri Garhwal,2020,31.0,5.0,222.0,1.0
5,Uttarakhand,52,Pauri Garhwal,2021,94.0,13.0,225.0,1.0
5,Uttarakhand,53,Pithoragarh,2016,18.0,4.0,155.0,2.0
5,Uttarakhand,53,Pithoragarh,2017,18.0,4.0,155.0,2.0
5,Uttarakhand,53,Pithoragarh,2018,18.0,4.0,156.0,2.0
5,Uttarakhand,53,Pithoragarh,2019,18.0,4.0,162.0,1.0
5,Uttarakhand,53,Pithoragarh,2020,18.0,4.0,161.0,1.0
5,Uttarakhand,53,Pithoragarh,2021,54.0,4.0,161.0,1.0
5,Uttarakhand,54,Rudra Prayag,2016,13.0,2.0,68.0,1.0
5,Uttarakhand,54,Rudra Prayag,2017,16.0,2.0,204.0,1.0
5,Uttarakhand,54,Rudra Prayag,2018,16.0,2.0,204.0,1.0
5,Uttarakhand,54,Rudra Prayag,2019,13.0,2.0,73.0,1.0
5,Uttarakhand,54,Rudra Prayag,2020,15.0,2.0,73.0,1.0
5,Uttarakhand,54,Rudra Prayag,2021,38.0,2.0,75.0,1.0
5,Uttarakhand,55,Tehri Garhwal,2016,28.0,5.0,204.0,1.0
5,Uttarakhand,55,Tehri Garhwal,2017,29.0,5.0,68.0,1.0
5,Uttarakhand,55,Tehri Garhwal,2018,29.0,5.0,68.0,1.0
5,Uttarakhand,55,Tehri Garhwal,2019,28.0,11.0,212.0,1.0
5,Uttarakhand,55,Tehri Garhwal,2020,28.0,11.0,208.0,1.0
5,Uttarakhand,55,Tehri Garhwal,2021,54.0,11.0,208.0,1.0
5,Uttarakhand,56,Udam Singh Nagar,2016,27.0,6.0,153.0,1.0
5,Uttarakhand,56,Udam Singh Nagar,2017,26.0,7.0,153.0,1.0
5,Uttarakhand,56,Udam Singh Nagar,2018,23.0,7.0,153.0,1.0
5,Uttarakhand,56,Udam Singh Nagar,2019,32.0,5.0,154.0,1.0
5,Uttarakhand,56,Udam Singh Nagar,2020,32.0,6.0,153.0,1.0
5,Uttarakhand,56,Udam Singh Nagar,2021,41.0,5.0,154.0,1.0
5,Uttarakhand,57,Uttar Kashi,2016,10.0,4.0,82.0,2.0
5,Uttarakhand,57,Uttar Kashi,2017,10.0,4.0,82.0,2.0
5,Uttarakhand,57,Uttar Kashi,2018,10.0,4.0,82.0,2.0
